code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
160514,博时稳健回报债券(LOF)C,2025-11-21,1.8556,1.9556,0.05389092476826907,0.0012857072607697626,0.001565283100340098,-0.006199817054578711,0.061437906424988635,-0.002684625079611674
016474,交银稳固收益债券C,2025-11-21,1.3496,1.3496,0.0,0.001093723763864814,-0.002807743460913281,-0.008157565958697809,-0.1280089834697279,-0.0040587410523209065
020019,国泰双利债券A,2025-11-21,1.7985,2.2185,0.23352793994995838,0.0016741629226027027,-0.0021637816245007047,-0.0046213208901651,-0.06389426749270923,-0.0028193847254218717
000107,富国稳健增强债券A/B,2025-11-21,1.329,1.754,0.3197893152746426,0.0009077495642904912,-0.0015026296018031404,-0.003975014196479214,-0.08239462359630777,-0.003411945558846728
018965,富国稳健增强债券E,2025-11-21,1.329,1.329,0.0,0.0009707322678974219,-0.0015026296018031404,-0.00523952095808392,-0.07699083703847862,-0.0032250806270156533
025019,交银稳固收益债券D,2025-11-21,1.2572,1.2572,0.0,0.001096737556020143,-0.0024597318098864562,-0.007734806629834104,-0.11174879421413245,-0.0039495002713548465
000109,富国稳健增强债券C,2025-11-21,1.28,1.685,0.31640625,0.0008099451398009429,-0.002338269680436378,-0.004137115839243437,-0.14412303689529568,-0.003697217357462566
519726,交银稳固收益债券A,2025-11-21,1.2573,1.7127,0.3622047244094486,0.0011035638261615458,-0.00245953665503007,-0.005285166686026315,-0.11104222803978801,-0.003909731547611904
002711,广发集丰债券A,2025-11-21,1.1981,1.4622,0.22043235122276938,0.001478708009468133,-0.00456962445995357,-0.007938123346224332,-0.15414801598435476,-0.005783896371165278
001976,海富通一年定开债C,2025-11-21,1.1952,2.2782,0.9061244979919678,0.001148107640717259,0.005468158492470732,-0.0020150692132468624,0.23806688262228384,-0.0010030090270813188
007392,申万菱信安泰丰利债券C,2025-11-21,1.196,1.226,0.025083612040133804,0.0014109246901227244,-0.0022524401434889096,-0.01240534879974229,-0.07923677760918588,-0.003652994664211968
014847,博时恒乐债券C,2025-11-21,1.1876,1.1944,0.005725833614011382,0.0018967846717285737,-0.004609839912832148,-0.00772617761900813,-0.12088149364075186,-0.0036160448356000333
